group,metric,n_baseline,n_training_avg,n_evaluation,baseline_mean,baseline_std,training_avg_mean,training_avg_std,evaluation_mean,evaluation_std,delta_training_minus_baseline,delta_evaluation_minus_training,delta_evaluation_minus_baseline,pct_training_minus_baseline,pct_evaluation_minus_training,pct_evaluation_minus_baseline
Visual,completion_time_s,5,5,5,55.8840,22.4686,42.0916,6.3255,73.9660,13.8356,-13.7924,31.8744,18.0820,-24.68,75.73,32.36
Visual,position_rmse_mm,5,5,5,34.3800,13.6919,19.6240,3.3454,13.9200,1.6115,-14.7560,-5.7040,-20.4600,-42.92,-29.07,-59.51
Visual,difficulty_1_10,5,5,5,6.8000,1.6432,6.9000,0.7416,6.4000,1.1402,0.1000,-0.5000,-0.4000,1.47,-7.25,-5.88
Visual,throughput_bits_s,5,5,5,0.0917,0.0382,0.1182,0.0184,0.0735,0.0112,0.0264,-0.0446,-0.0182,28.81,-37.77,-19.85
Visual + Haptic,completion_time_s,5,5,5,57.6420,18.5736,49.5784,8.0799,73.8480,3.8497,-8.0636,24.2696,16.2060,-13.99,48.95,28.11
Visual + Haptic,position_rmse_mm,5,5,5,27.6600,5.0327,19.3560,2.3923,16.4800,3.3833,-8.3040,-2.8760,-11.1800,-30.02,-14.86,-40.42
Visual + Haptic,difficulty_1_10,4,4,4,6.0000,1.4142,5.8500,0.8699,6.5000,1.2910,-0.1500,0.6500,0.5000,-2.50,11.11,8.33
Visual + Haptic,throughput_bits_s,5,5,5,0.0853,0.0305,0.1010,0.0159,0.0721,0.0039,0.0157,-0.0289,-0.0132,18.41,-28.58,-15.43
